running_time,audience,screens,actor_changed,director_changed,scriptwriter_changed,writer_changed,genre_SF,genre_가족,genre_공연,genre_공포,genre_기타,genre_다큐멘터리,genre_드라마,genre_로맨스,genre_뮤지컬,genre_미스터리,genre_범죄,genre_사극,genre_서부극,genre_성인물,genre_스릴러,genre_애니메이션,genre_액션,genre_어드벤처,genre_전쟁,genre_코미디,genre_판타지,series_0,series_1,기타,미국_캐나다,유럽,일본,중국_대만_홍콩,한국,12세관람가,15세관람가,전체관람가,청소년관람불가,corona_0,corona_1
3,11375399,2.464353167097366,4.888427601573016,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,11233176,7.8533864222809395,3.775107014758123,7.7442698392860505,5.852158234644644,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,10805065,8.700801971007595,2.8346183091178787,17.019366825938643,10.839892134780394,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,10504487,5.503132361359357,3.162342538558102,8.717328389001858,0.07941091240842547,8.882772742816986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,10342523,4.0698084058959125,1.3836977349221138,4.347854663243964,5.770571475595003,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
3,10313663,5.850705145016774,4.707481075971945,7.878367871889672,7.842350983187624,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2,10305051,2.7457216110105134,-0.32389467031764996,-0.27286711679042563,-0.23172104194822082,0.7484257496493838,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
2,10299687,7.949382714910131,2.228379933636934,7.819243211281415,9.544193493641957,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
3,9948386,3.3051482818495943,-0.5365122629012334,2.7050172246226287,-0.02099425711871906,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
3,9707581,5.400515634755738,2.97534447920687,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2,9427588,4.897362652699287,6.204001933800942,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,9353799,3.136327215501706,3.2331141890595543,9.896850761614639,9.046357893916127,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,9135806,3.5070715180696177,6.334254790797109,1.468566250224184,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,9001679,4.000293849164429,2.5816155182216147,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,8678761,5.993044475466954,4.6924501170093995,4.750697458227392,4.289508787867406,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,8666208,2.4146999122891635,1.1401611706337569,2.132895001242064,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
3,8661325,2.8019952997931425,1.2637417577087533,3.248820577263736,0.9355845615776534,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,8487894,1.3223283065087095,0.1475138847817115,8.122305679460888,9.17276536583828,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
1,8426973,1.4613574199716763,-0.5365122629012334,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
3,8253470,5.926840135722684,5.549701579269988,-0.27286711679042563,0.5380829896487496,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
2,8245523,0.752970984707988,0.30725492948681715,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,8195772,5.940081003671539,1.8743207789664413,0.5624411347668933,0.30322137284248546,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,8023606,6.492887240536192,4.938689845660725,4.325412694859704,4.008735144047072,8.552577762017014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,8008622,0.5808397013728861,2.0036090480122213,-0.27286711679042563,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,7817686,4.0102245001260695,3.122325016960823,2.599851536680564,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
3,7785189,4.066498188908699,3.622526329204091,7.49639970197814,3.695445461012886,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,7759761,3.0270900549236606,1.543996411913625,4.280145178123329,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,7575899,2.838407686652491,0.9582423300760199,1.1181329261468471,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3,7551990,9.160922132230272,4.725586095598808,6.185511351433454,5.799196062165881,14.65344118518138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
3,7505700,3.222392857169257,3.9989944459983686,6.620651071657413,0.32632536114837596,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,7500457,4.182355783461171,4.946514083434527,2.2477251261888167,-0.23172104194822082,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,7470633,1.438185901061182,2.6249137979011525,1.5497289771313432,2.969224987599921,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,7440531,2.2591197138901293,0.6464421727406561,4.07617462501742,-0.23172104194822082,-0.09919535597798028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,7363142,1.2097809289434507,-0.3286442035099445,10.187572623940838,11.48633000342207,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,7307993,1.2263320138795182,2.3077523860431417,1.9954438192505628,-0.14750986447080486,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,7265035,6.761014816500486,1.8584810600134514,8.59800834621944,6.676507342217748,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
